age,count
16,1260
17,11925
18,31182
19,48619
20,59439
21,62640
22,61007
23,61184
24,82031
25,121911
26,155388
27,168467
28,172006
29,184193
30,190330
31,174798
32,137244
33,94040
34,62217
35,50857
36,56707
37,69163
38,79106
39,80941
40,74956
41,68153
42,69981
43,86005
44,113816
45,144262
46,165480
47,169881
48,157817
49,135507
50,113096
51,101244
52,97839
53,102567
54,107531
55,106987
56,100441
57,90975
58,82773
59,76843
60,76191
61,78810
62,82329
63,85354
64,87598
65,144975
66,145513
67,147036
68,150227
69,155568
70,161052
71,166073
72,169038
73,169757
74,168222
75,164004
76,158856
77,153025
78,146458
79,138878
80,131925
81,125459
82,118109
83,109535
84,98798
85,87395
86,74063
87,59883
88,46487
89,33495
90,22454
91,14253
92,9716
93,7776
94,6479
95,4819
96,3054
97,1308
98,208
